MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G0369080-0030933,36.9081,-0.3093,0.1,0.42,0.41,0.42,0.07,180,92,0.18,0.12,0.1,C,,1G036910-003084,G036.907-00.310,,,Simbad,284.9505,3.3968,1
2G3092894-0062387,309.2894,-0.6239,0.27,0.6,0.44,0.53,0.22,40,126,0.67,0.2,0.17,R,,1G309288-006229,G309.285-00.629,,,Simbad,206.8786,-62.8014,1
2G3283139-0059136,328.314,-0.5914,0.18,0.64,0.58,0.61,0.16,71,132,0.42,0.22,0.49,R,,1G328314-005907,G328.315-00.594,,,Simbad,239.6418,-53.9731,1
2G3162911-0026765,316.2912,-0.2676,0.07,0.24,0.15,0.2,0.05,85,110,0.77,0.18,0.33,R,,,G316.290-00.267,,,Simbad,220.5922,-60.23,1
2G3095512-0072054,309.5513,-0.7206,0.64,1.53,1.26,1.41,0.6,37,129,0.57,0.33,0.41,R,,1G309550-007199,G309.540-00.720,5.4,S141,Simbad,207.4845,-62.8381,1
2G0083668-0035395,8.3669,-0.3539,0.51,0.83,0.62,0.73,0.26,46,92,0.67,0.1,0.18,R,D,1G008368-003536,G008.368-00.356,,,Simbad,271.4182,-21.8884,1
2G0263289-0007072,26.329,-0.0707,0.1,0.75,0.58,0.67,0.2,47,79,0.64,0.39,0.33,R,,1G026329-000689,G026.330-00.071,,N42,Simbad,279.9012,-5.9062,1
2G0108438-0011291,10.8438,-0.1129,0.09,0.37,0.28,0.33,0.06,178,84,0.66,0.28,0.15,R,,,G010.842-00.112,,,Simbad,272.4806,-19.6067,1
2G0412322-0019869,41.2322,-0.1987,0.1,0.42,0.3,0.37,0.09,43,70,0.69,0.11,0.18,R,,1G041232-001989,G041.232-00.203,,,Simbad,286.8433,7.2903,1
2G0522527+0070251,52.2527,0.7025,0.33,1.44,1.24,1.35,0.28,31,117,0.51,0.32,0.4,R,,1G052253+007060,G052.256+00.702,10.0,N114,Simbad,291.2952,17.4592,1
2G3414356+0038403,341.4357,0.384,0.3,0.75,0.57,0.66,0.21,176,84,0.65,0.16,0.34,R,,1G341436+003834,G341.438+00.383,,,Simbad,252.6278,-43.9001,1
2G0133789+0006491,13.3789,0.0649,0.23,0.5,0.33,0.43,0.19,35,87,0.75,0.12,0.12,C,,1G013382+000659,G013.384+00.066,,,Simbad,273.6007,-17.2981,1
2G0535477-0001400,53.5477,-0.014,1.18,2.72,2.18,2.47,0.76,32,93,0.6,0.31,0.39,R,,1G053551-000082,G053.541-00.011,,N115,Simbad,292.606,18.2554,1
2G3392150+0026439,339.215,0.2644,0.17,0.41,0.26,0.34,0.12,143,157,0.79,0.17,0.14,R,,1G339213+002630,G339.216+00.263,,,Simbad,250.7277,-45.6686,1
2G0036650-0009805,3.665,-0.0981,0.09,0.27,0.21,0.24,0.06,62,98,0.64,0.17,0.32,R,,,G003.664-00.098,,CN44,Simbad,268.6189,-25.8411,1
2G3459931-0002014,345.9932,-0.0201,0.33,0.51,0.34,0.43,0.12,156,87,0.75,0.07,0.08,C,,1G345995-000246,G345.997-00.024,,,Simbad,256.8713,-40.5723,1
2G3282857-0056651,328.2857,-0.5665,0.75,1.4,1.26,1.33,0.24,39,116,0.44,0.07,0.54,R,,1G328288-005656,G328.279-00.559,,,Simbad,239.5777,-53.9725,1
2G3342049+0019046,334.205,0.1905,0.16,0.71,0.49,0.61,0.24,71,107,0.72,0.24,0.33,R,,1G334204+001902,G334.202+00.193,,,Simbad,245.7536,-49.3898,1
2G3292981-0038835,329.2982,-0.3884,0.33,0.61,0.46,0.54,0.24,15,85,0.67,0.11,0.07,C,,1G329298-003885,G329.300-00.386,,,Simbad,240.672,-53.1758,1
